NAME,LOCATION,EMAIL,VOICEPART
Richard Page,Dahlenburg / DE,RichardDPage@jourrapide.com,tenor
Joshua Woods,Grand Haven / US,JoshuaVWoods@fleckens.hu,tenor
Billy Petty,Rochester / US,BillyJPetty@teleworm.us,tenor
Norman Brunetti,Nußbaum / DE,NormanDBrunetti@gustr.com,tenor
Dorothy Cosper,Boston / US,DorothyFCosper@teleworm.us,tenor
Alex Lomanto,Köln Nippes / DE,AlexLLomanto@einrot.com,tenor
Hugo Mackay,Tiefenbach / DE,HugoAMackay@einrot.com,tenor
Bonnie Rivera,Udler / DE,BonnieRRivera@teleworm.us,tenor
Susan Perna,Stevens Point / US,SusanJPerna@gustr.com,tenor
Robert Larson,Bennington / US,RobertCLarson@rhyta.com,tenor
Kara Gonzalez,San Antonio / US,KaraRGonzalez@armyspy.com,lead
David Blackwell,Wilmington / US,DavidNBlackwell@fleckens.hu,lead
Marjorie Willcox,Gars / DE,MarjorieRWillcox@armyspy.com,lead
Linda Wilkinson,Oronoco / US,LindaJWilkinson@gustr.com,lead
Carmen Phillips,Fort Smith / US,CarmenJPhillips@superrito.com,lead
Thomas Olson,Stegen / DE,ThomasPOlson@dayrep.com,lead
Jessica Hill,Darlington / US,JessicaJHill@fleckens.hu,lead
Eunice Bryant,Snellville / US,EuniceVBryant@cuvox.de,lead
Cari Brown,Englewood / US,CariDBrown@gustr.com,lead
Benito Courtney,Newark / US,BenitoMCourtney@superrito.com,lead
Katherine Crabtree,Las Vegas / US,KatherineNCrabtree@gustr.com,baritone
Janet Hernandez,Washington / US,JanetMHernandez@dayrep.com,baritone
Marcus Clarke,Treynor / US,MarcusLClarke@jourrapide.com,baritone
Candis Little,Groß Düben / DE,CandisDLittle@jourrapide.com,baritone
Peggy Maclin,Hamburg Wilstorf / DE,PeggyTMaclin@teleworm.us,baritone
John Lancaster,Sparrows Point / US,JohnJLancaster@armyspy.com,baritone
Clarence Brewster,Fayetteville / US,ClarencePBrewster@jourrapide.com,baritone
Fannie Caldwell,Seattle / US,FannieDCaldwell@superrito.com,baritone
William Hayes,Hickory Hills / US,WilliamMHayes@fleckens.hu,baritone
Roger Lucas,Ellerau / DE,RogerBLucas@jourrapide.com,baritone
Ashley Watts,Schierke / DE,AshleyJWatts@einrot.com,bass
Christopher Parks,Woodlawn / US,ChristopherIParks@cuvox.de,bass
Alice Guerra,Akron / US,AliceEGuerra@einrot.com,bass
Esther McDonald,Pleasantville / US,EstherCMcDonald@rhyta.com,bass
Richard Blaine,Bel Air / US,RichardBBlaine@superrito.com,bass
Viola Bascom,East Saint Louis / US,ViolaMBascom@rhyta.com,bass
Javier Bruce,Coral Gables / US,JavierRBruce@jourrapide.com,bass
Christina Brown,Redding / US,ChristinaJBrown@teleworm.us,bass
Mary Simmons,New York / US,MaryMSimmons@jourrapide.com,bass
Brian Bunger,Philadelphia / US,BrianDBunger@teleworm.us,bass
